date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-21,1,1,0,0,1,1,0,0
2020-03-28,1,0,0,0,2,1,-1,-1
2020-04-04,18,17,0,0,5,3,13,14
2020-04-11,48,30,8,8,8,3,32,19
2020-04-18,72,24,13,5,9,1,50,18
2020-04-25,98,26,21,8,12,3,65,15
2020-05-02,110,12,41,20,14,2,55,-10
2020-05-09,172,62,48,7,24,10,100,45
2020-05-16,195,23,53,5,27,3,115,15
2020-05-23,287,92,102,49,35,8,150,35
2020-05-30,399,112,123,21,42,7,234,84
2020-06-06,596,197,179,56,46,4,371,137
2020-06-13,854,258,205,26,59,13,590,219
2020-06-20,1075,221,255,50,68,9,752,162
2020-06-27,1436,361,374,119,91,23,971,219
2020-07-04,1758,322,460,86,103,12,1195,224
2020-07-11,2273,515,544,84,119,16,1610,415
2020-07-18,2914,641,696,152,145,26,2073,463
2020-07-25,3363,449,899,203,174,29,2290,217
2020-08-01,3955,592,1484,585,193,19,2278,-12
2020-08-08,4787,832,2036,552,222,29,2529,251
2020-08-15,5615,828,2511,475,243,21,2861,332
2020-08-21,5971,356,2984,473,270,27,2717,-144
