date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-14,1,1,0,0,0,0,1,1
2020-03-21,3,2,0,0,0,0,3,2
2020-03-28,3,0,0,0,0,0,3,0
2020-04-04,5,2,1,1,0,0,4,1
2020-04-11,16,11,1,0,1,1,14,10
2020-04-18,27,11,4,3,2,1,21,7
2020-04-25,41,14,5,1,2,0,34,13
2020-05-02,64,23,11,6,2,0,51,17
2020-05-09,71,7,15,4,3,1,53,2
2020-05-16,189,118,19,4,4,1,166,113
2020-05-23,215,26,51,32,4,0,160,-6
2020-05-30,241,26,112,61,4,0,125,-35
2020-06-06,257,16,144,32,5,1,108,-17
2020-06-13,279,22,190,46,5,0,84,-24
2020-06-20,332,53,214,24,5,0,113,29
2020-06-27,343,11,221,7,6,1,116,3
2020-07-04,477,134,261,40,7,1,209,93
2020-07-11,509,32,330,69,9,2,170,-39
2020-07-18,575,66,364,34,11,2,200,30
2020-07-25,752,177,401,37,13,2,338,138
2020-08-01,787,35,477,76,13,0,297,-41
2020-08-08,998,211,681,204,17,4,300,3
2020-08-15,1167,169,821,140,18,1,328,28
2020-08-22,1310,143,893,72,20,2,397,69
2020-08-29,1537,227,1008,115,26,6,503,106
2020-09-02,1623,86,1092,84,32,6,499,-4
