date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0
2020-04-09,1,1,0,0,0,0,1,1
2020-04-12,1,0,0,0,0,0,1,0
2020-04-15,1,0,0,0,0,0,1,0
2020-04-18,1,0,0,0,0,0,1,0
2020-04-21,1,0,0,0,0,0,1,0
2020-04-24,1,0,1,1,0,0,0,-1
2020-04-27,1,0,1,0,0,0,0,0
2020-04-30,3,2,1,0,0,0,2,2
2020-05-03,12,9,1,0,0,0,11,9
2020-05-06,12,0,1,0,0,0,11,0
2020-05-09,12,0,1,0,0,0,11,0
2020-05-12,19,7,1,0,1,1,17,6
2020-05-15,59,40,6,5,1,0,52,35
2020-05-18,76,17,6,0,1,0,69,17
2020-05-21,79,3,6,0,1,0,72,3
2020-05-24,85,6,7,1,1,0,77,5
2020-05-27,90,5,12,5,1,0,77,0
2020-05-30,97,7,14,2,1,0,82,5
2020-06-02,97,0,14,0,1,0,82,0
2020-06-05,97,0,14,0,1,0,82,0
2020-06-08,105,8,37,23,1,0,67,-15
2020-06-11,105,0,37,0,1,0,67,0
2020-06-14,108,3,40,3,1,0,67,0
2020-06-17,108,0,40,0,1,0,67,0
2020-06-20,111,3,40,0,1,0,70,3
2020-06-23,111,0,40,0,1,0,70,0
2020-06-26,113,2,40,0,1,0,72,2
2020-06-29,113,0,40,0,1,0,72,0
2020-07-02,118,5,54,14,1,0,63,-9
2020-07-05,118,0,54,0,1,0,63,0
2020-07-08,121,3,91,37,1,0,29,-34
2020-07-11,0,0,0,0,0,0,0,0
2020-07-14,0,0,0,0,0,0,0,0
