date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-21,1,1,0,0,1,1,0,0
2020-03-28,1,0,0,0,2,1,-1,-1
2020-04-04,18,17,0,0,5,3,13,14
2020-04-11,48,30,8,8,8,3,32,19
2020-04-18,72,24,13,5,9,1,50,18
2020-04-25,98,26,21,8,12,3,65,15
2020-05-02,110,12,41,20,14,2,55,-10
2020-05-09,172,62,48,7,24,10,100,45
2020-05-16,195,23,53,5,27,3,115,15
2020-05-23,287,92,102,49,35,8,150,35
2020-05-30,399,112,123,21,42,7,234,84
2020-06-06,595,196,179,56,46,4,370,136
2020-06-13,853,258,205,26,59,13,589,219
2020-06-20,1074,221,255,50,68,9,751,162
2020-06-27,1435,361,374,119,91,23,970,219
2020-07-04,1758,323,459,85,103,12,1196,226
2020-07-11,2274,516,543,84,119,16,1612,416
2020-07-14,2490,216,598,55,130,11,1762,150
