date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-04-04,24,24,5,5,0,0,19,19
2020-04-11,70,46,14,9,0,0,56,37
2020-04-18,122,52,30,16,0,0,92,36
2020-04-25,174,52,64,34,2,2,108,16
2020-05-02,228,54,123,59,2,0,103,-5
2020-05-09,297,69,191,68,2,0,104,1
2020-05-16,337,40,237,46,2,0,98,-6
2020-05-23,379,42,280,43,2,0,97,-1
2020-05-30,446,67,321,41,2,0,123,26
2020-06-06,548,102,364,43,3,1,181,58
2020-06-13,714,166,455,91,4,1,255,74
2020-06-20,1001,287,579,124,5,1,417,162
2020-06-27,1359,358,744,165,9,4,606,189
2020-07-04,1788,429,930,186,16,7,842,236
2020-07-11,2138,350,1345,415,25,9,768,-74
2020-07-13,2248,110,1501,156,25,0,722,-46
