date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-29,4,4,0,0,0,0,4,4
2020-04-05,23,19,2,2,2,2,19,15
2020-04-12,53,30,2,0,2,0,49,30
2020-04-19,178,125,20,18,4,2,154,105
2020-04-26,248,70,32,12,4,0,212,58
2020-05-03,328,80,87,55,6,2,235,23
2020-05-10,363,35,188,101,7,1,168,-67
2020-05-17,472,109,227,39,8,1,237,69
2020-05-24,592,120,279,52,10,2,303,66
2020-05-31,796,204,311,32,21,11,464,161
2020-06-07,902,106,541,230,33,12,328,-136
2020-06-14,1049,147,714,173,44,11,291,-37
2020-06-21,1161,112,783,69,50,6,328,37
2020-06-28,1309,148,865,82,64,14,380,52
2020-07-05,1518,209,952,87,74,10,492,112
2020-07-12,1571,53,987,35,81,7,503,11
