date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-22,2,2,0,0,0,0,2,2
2020-03-29,8,6,0,0,0,0,8,6
2020-04-05,16,8,0,0,1,1,15,7
2020-04-12,50,34,2,2,1,0,47,32
2020-04-19,83,33,2,0,1,0,80,33
2020-04-26,122,39,5,3,1,0,116,36
2020-05-03,131,9,6,1,1,0,124,8
2020-05-10,153,22,41,35,1,0,111,-13
2020-05-17,163,10,57,16,1,0,105,-6
2020-05-24,165,2,72,15,2,1,91,-14
2020-05-31,168,3,108,36,2,0,58,-33
2020-06-07,170,2,137,29,2,0,31,-27
2020-06-14,175,5,149,12,2,0,24,-7
2020-06-21,201,26,154,5,2,0,45,21
2020-06-28,206,5,174,20,2,0,30,-15
2020-07-05,214,8,188,14,2,0,24,-6
2020-07-12,215,1,188,0,2,0,25,1
