date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,1,1,0,0,0,0,1,1
2020-03-15,3,2,0,0,0,0,3,2
2020-03-22,3,0,0,0,0,0,3,0
2020-03-29,5,2,1,1,0,0,4,1
2020-04-05,16,11,1,0,1,1,14,10
2020-04-12,27,11,4,3,2,1,21,7
2020-04-19,41,14,5,1,2,0,34,13
2020-04-26,64,23,11,6,2,0,51,17
2020-05-03,71,7,15,4,3,1,53,2
2020-05-10,189,118,19,4,4,1,166,113
2020-05-17,215,26,51,32,4,0,160,-6
2020-05-24,241,26,112,61,4,0,125,-35
2020-05-31,257,16,144,32,5,1,108,-17
2020-06-07,279,22,190,46,5,0,84,-24
2020-06-14,332,53,214,24,5,0,113,29
2020-06-21,343,11,221,7,6,1,116,3
2020-06-28,477,134,261,40,7,1,209,93
2020-07-05,509,32,330,69,9,2,170,-39
2020-07-12,518,9,336,6,9,0,173,3
