date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0
2020-04-11,1,1,0,0,0,0,1,1
2020-04-17,1,0,0,0,0,0,1,0
2020-04-23,1,0,0,0,0,0,1,0
2020-04-29,1,0,1,1,0,0,0,-1
2020-05-05,12,11,1,0,0,0,11,11
2020-05-11,12,0,1,0,0,0,11,0
2020-05-17,59,47,6,5,1,1,52,41
2020-05-23,79,20,6,0,1,0,72,20
2020-05-29,90,11,12,6,1,0,77,5
2020-06-04,97,7,14,2,1,0,82,5
2020-06-10,105,8,37,23,1,0,67,-15
2020-06-16,108,3,40,3,1,0,67,0
2020-06-22,111,3,40,0,1,0,70,3
2020-06-28,113,2,40,0,1,0,72,2
2020-07-04,118,5,54,14,1,0,63,-9
2020-07-08,121,3,91,37,1,0,29,-34
2020-07-11,0,0,0,0,0,0,0,0
