date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-03-30,1,1,0,0,0,0,1,1
2020-03-31,2,1,0,0,1,1,1,0
2020-04-01,2,0,0,0,1,0,1,0
2020-04-02,2,0,0,0,1,0,1,0
2020-04-03,2,0,0,0,1,0,1,0
2020-04-04,2,0,0,0,1,0,1,0
2020-04-05,2,0,0,0,1,0,1,0
2020-04-06,2,0,0,0,1,0,1,0
2020-04-07,2,0,0,0,1,0,1,0
2020-04-08,2,0,0,0,1,0,1,0
2020-04-09,3,1,0,0,1,0,2,1
2020-04-10,3,0,0,0,1,0,2,0
2020-04-11,4,1,0,0,1,0,3,1
2020-04-12,4,0,0,0,1,0,3,0
2020-04-13,4,0,0,0,1,0,3,0
2020-04-14,4,0,0,0,1,0,3,0
2020-04-15,5,1,0,0,1,0,4,1
2020-04-16,6,1,0,0,1,0,5,1
2020-04-17,6,0,0,0,1,0,5,0
2020-04-18,6,0,1,1,1,0,4,-1
2020-04-19,7,1,1,0,1,0,5,1
2020-04-20,7,0,1,0,1,0,5,0
2020-04-21,8,1,2,1,1,0,5,0
2020-04-22,8,0,2,0,1,0,5,0
2020-04-23,9,1,2,0,1,0,6,1
2020-04-24,9,0,2,0,1,0,6,0
2020-04-25,9,0,2,0,1,0,6,0
2020-04-26,10,1,2,0,1,0,7,1
2020-04-27,10,0,2,0,1,0,7,0
2020-04-28,10,0,2,0,1,0,7,0
2020-04-29,10,0,2,0,1,0,7,0
2020-04-30,10,0,4,2,1,0,5,-2
2020-05-01,19,9,4,0,1,0,14,9
2020-05-02,19,0,4,0,1,0,14,0
2020-05-03,20,1,4,0,1,0,15,1
2020-05-04,20,0,4,0,1,0,15,0
2020-05-05,28,8,4,0,1,0,23,8
2020-05-06,28,0,6,2,1,0,21,-2
2020-05-07,28,0,6,0,1,0,21,0
2020-05-08,28,0,7,1,1,0,20,-1
2020-05-09,28,0,7,0,1,0,20,0
2020-05-10,29,1,7,0,1,0,21,1
2020-05-11,29,0,7,0,1,0,21,0
2020-05-12,29,0,7,0,1,0,21,0
2020-05-13,29,0,7,0,1,0,21,0
2020-05-14,29,0,7,0,1,0,21,0
2020-05-15,29,0,24,17,1,0,4,-17
2020-05-16,29,0,24,0,1,0,4,0
2020-05-17,29,0,24,0,1,0,4,0
2020-05-18,29,0,24,0,1,0,4,0
2020-05-19,29,0,24,0,1,0,4,0
2020-05-20,35,6,25,1,1,0,9,5
2020-05-21,36,1,26,1,1,0,9,0
2020-05-22,36,0,26,0,1,0,9,0
2020-05-23,39,3,27,1,1,0,11,2
2020-05-24,39,0,27,0,1,0,11,0
