date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-28,3,3,0,0,0,0,3,3
2020-04-11,20,17,7,7,1,1,12,9
2020-04-25,96,76,9,2,5,4,82,70
2020-05-09,185,89,30,21,10,5,145,63
2020-05-23,287,102,92,62,14,4,181,36
2020-06-06,491,204,151,59,25,11,315,134
2020-06-20,760,269,258,107,45,20,457,142
2020-07-04,1000,240,423,165,60,15,517,60
2020-07-18,1320,320,651,228,76,16,593,76
2020-08-01,1756,436,1167,516,90,14,499,-94
2020-08-05,1845,89,1267,100,90,0,488,-11
