date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-28,5,5,0,0,0,0,5,5
2020-04-04,8,3,0,0,0,0,8,3
2020-04-11,31,23,5,5,3,3,23,15
2020-04-18,71,40,12,7,7,4,52,29
2020-04-25,97,26,21,9,11,4,65,13
2020-05-02,182,85,31,10,16,5,135,70
2020-05-09,286,104,55,24,18,2,213,78
2020-05-16,396,110,93,38,23,5,280,67
2020-05-23,443,47,176,83,25,2,242,-38
2020-05-30,552,109,256,80,26,1,270,28
2020-06-06,618,66,336,80,27,1,255,-15
2020-06-13,674,56,411,75,29,2,234,-21
2020-06-20,703,29,497,86,30,1,176,-58
2020-06-27,722,19,581,84,31,1,110,-66
2020-07-04,762,40,624,43,31,0,107,-3
2020-07-11,794,32,666,42,32,1,96,-11
2020-07-18,817,23,696,30,32,0,89,-7
2020-07-20,828,11,700,4,33,1,95,6
